epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6819.1,0.68465,0.49738,1.18251,0.96924,0.89405,0.95865,0.7776,0.78705,0.52914,1.30167,0.005842,0.005842,0.005842
44,6975.5,0.68025,0.49422,1.18092,0.97078,0.90001,0.95892,0.78108,0.77741,0.5149,1.27972,0.005743,0.005743,0.005743
45,7131.86,0.67151,0.48837,1.17426,0.96822,0.89587,0.9584,0.79172,0.75407,0.50786,1.26413,0.005644,0.005644,0.005644
46,7288.36,0.67762,0.48728,1.17865,0.95835,0.90361,0.95961,0.78998,0.7554,0.48911,1.27137,0.005545,0.005545,0.005545
47,7445.38,0.65942,0.47467,1.167,0.97241,0.89714,0.9588,0.79278,0.76334,0.51947,1.27849,0.005446,0.005446,0.005446
48,7601.99,0.66315,0.47905,1.16875,0.96008,0.89362,0.95905,0.78082,0.78095,0.52838,1.29133,0.005347,0.005347,0.005347
49,7758.49,0.65646,0.4702,1.1652,0.97089,0.90482,0.96604,0.79981,0.74038,0.48068,1.25181,0.005248,0.005248,0.005248
50,7915.05,0.65244,0.46212,1.15695,0.96463,0.90896,0.96189,0.79879,0.74712,0.50879,1.2631,0.005149,0.005149,0.005149
51,8071.64,0.63747,0.45339,1.14742,0.96973,0.89697,0.96304,0.79297,0.75068,0.49521,1.2755,0.00505,0.00505,0.00505
52,8227.9,0.64025,0.45625,1.1501,0.96248,0.90151,0.95217,0.77943,0.77103,0.52915,1.30839,0.004951,0.004951,0.004951
53,8384.43,0.63552,0.44944,1.14555,0.95454,0.91812,0.96323,0.80247,0.73295,0.48893,1.25452,0.004852,0.004852,0.004852
54,8540.72,0.62452,0.44638,1.14038,0.97426,0.89527,0.96189,0.79836,0.74119,0.49197,1.26849,0.004753,0.004753,0.004753
55,8697.07,0.62331,0.4415,1.13813,0.97523,0.91073,0.9696,0.81354,0.7174,0.45677,1.24166,0.004654,0.004654,0.004654
56,8853.41,0.62181,0.44215,1.13319,0.96662,0.90944,0.9682,0.81164,0.72518,0.4826,1.25944,0.004555,0.004555,0.004555
57,9009.59,0.61149,0.4356,1.12637,0.9685,0.9117,0.96349,0.80983,0.7216,0.48742,1.24767,0.004456,0.004456,0.004456
58,9165.78,0.61272,0.43155,1.1308,0.96236,0.91207,0.96753,0.80998,0.72889,0.48685,1.25364,0.004357,0.004357,0.004357
59,9321.93,0.60166,0.42321,1.12086,0.96208,0.91156,0.96565,0.80621,0.72399,0.4794,1.25532,0.004258,0.004258,0.004258
60,9478.25,0.60362,0.42623,1.12473,0.97423,0.91915,0.97048,0.82393,0.69641,0.45332,1.23176,0.004159,0.004159,0.004159
61,9634.74,0.59153,0.41456,1.11403,0.97347,0.91803,0.97337,0.83034,0.69273,0.44315,1.22945,0.00406,0.00406,0.00406
62,9791.07,0.59016,0.41426,1.1128,0.97543,0.90969,0.96908,0.82266,0.69277,0.46377,1.23536,0.003961,0.003961,0.003961
63,9947.23,0.58488,0.41252,1.10851,0.97327,0.91156,0.97087,0.81908,0.69652,0.44987,1.24453,0.003862,0.003862,0.003862
64,10103.4,0.58004,0.40657,1.10808,0.97417,0.9093,0.96686,0.82038,0.70074,0.48603,1.251,0.003763,0.003763,0.003763
65,10260,0.57853,0.40809,1.10694,0.97563,0.91562,0.96436,0.82127,0.69804,0.47151,1.24678,0.003664,0.003664,0.003664
66,10416.2,0.57067,0.40357,1.09925,0.97816,0.91464,0.96835,0.82486,0.69781,0.45678,1.24255,0.003565,0.003565,0.003565
67,10572.8,0.57239,0.39726,1.09745,0.97435,0.93168,0.97026,0.83021,0.68099,0.43437,1.22245,0.003466,0.003466,0.003466
68,10729.1,0.56297,0.39177,1.09294,0.96871,0.92007,0.96698,0.82402,0.68793,0.46008,1.2224,0.003367,0.003367,0.003367
69,10885.5,0.56113,0.39551,1.09059,0.96989,0.92609,0.9694,0.82854,0.67789,0.44987,1.22468,0.003268,0.003268,0.003268
70,11041.9,0.55918,0.39008,1.0925,0.97595,0.91737,0.96426,0.82384,0.68614,0.46086,1.22899,0.003169,0.003169,0.003169
71,11198.7,0.55063,0.38108,1.0865,0.96522,0.92152,0.96621,0.82659,0.68348,0.46658,1.23519,0.00307,0.00307,0.00307
